=================Motor Informations=================
Name;RH-457SD-13150
Type;DC
UMotorMax;24
IMotorMax;0.6
PMotorMax;100
SpeedMax;4000
================Scenarios Informations================
U_MIN_TO_U_MAX;0;23.9;0
==============================================
test: Umin =0.0to Umax 23.9
Setting;U [V];v[tr/min];I[A]
Set U = 0.0;0.19;0;0.01
Set U = 0.96;0.64;0;0.05
Set U = 1.92;2.46;0;0.11
Set U = 2.88;2.31;0;0.08
Set U = 3.84;4.13;0;0.19
Set U = 4.8;4.51;0;0.61
Set U = 5.76;4.96;0;0.11
Set U = 6.72;6.25;0;0.16
Set U = 7.68;6.93;0;0.2
Set U = 8.64;7.65;0;0.22
Set U = 9.6;8.64;0;0.25
Set U = 10.56;9.58;0;0.31
Set U = 11.52;10.49;0;0.32
Set U = 12.48;11.32;0;0.29
Set U = 13.44;12.2;0;0.3
Set U = 14.4;13.1;0;0.29
Set U = 15.36;13.9;0;0.38
Set U = 16.32;14.73;0;0.28
Set U = 17.28;15.64;0;0.31
Set U = 18.24;16.44;0;0.35
Set U = 19.2;17.27;0;0.43
Set U = 20.16;18.1;0;0.28
Set U = 21.12;18.82;0;0.42
Set U = 22.08;19.58;0;0.32
Set U = 23.04;20.41;0;0.47
Set U = 24.0;21.13;0;0.34
============================================================
