=================Motor Informations=================;;;;;;;
Name;RH-457SD-13150;;;;;;
Type;DC;;;;;;
UMotorMax;24;;;;;;
IMotorMax;0,1;;;;;;
PMotorMax;100;;;;;;
SpeedMax;4000;;;;;;
================Scenarios Informations================;;;;;;;
U_MIN_TO_U_MAX;0;23,9;0;;;;
==============================================;;;;;;;
test: Umin =0,0to Umax 23,9;;;;;;Before;0,000345575
Setting;U [V];v[tr/min];I[A];;;After;0,00236
Set U = 0,0;0,151;0;0,001;0,151;;0,00014643;
Set U = 0,96;1,06;0;0,02;1,06;;0,002928602;
Set U = 1,92;1.932;0;0,047;1,932;;0,006882214;
Set U = 2,88;2.954;0;0,043;2,954;;0,006296494;
Set U = 3,84;3.863;0;0,047;3,863;;0,006882214;
Set U = 4,8;4.848;0;0,056;4,848;;0,008200085;
Set U = 5,76;5.795;0;0,051;5,795;;0,007467934;
Set U = 6,72;6.742;0;0,066;6,742;;0,009664386;
Set U = 7,68;7.689;0;0,064;7,689;;0,009371525;
Set U = 8,64;8.673;0;0,086;8,673;;0,012592987;
Set U = 9,6;9,62;0;0,092;9,62;;0,013471568;
Set U = 10,56;10.605;0;0,082;10,605;;0,012007267;
Set U = 11,52;11,59;0;0,093;11,59;;0,013617998;
Set U = 12,48;12.537;0;0,098;12,537;;0,014350148;
Set U = 13,44;13.446;0;0,129;13,446;;0,018889481;
Set U = 14,4;14.468;0;0,122;14,468;;0,01786447;
Set U = 15,36;15.415;0;0,113;15,415;;0,0165466;
Set U = 16,32;16.324;0;0,127;16,324;;0,018596621;
Set U = 17,28;17.309;0;0,147;17,309;;0,021525222;
Set U = 18,24;18.218;0;0,172;18,218;;0,025185975;
Set U = 19,2;19.241;0;0,168;19,241;;0,024600254;
Set U = 20,16;20.225;0;0,187;20,225;;0,027382426;
Set U = 21,12;21.172;0;0,191;21,172;;0,027968146;
Set U = 22,08;22.081;0;0,17;22,081;;0,024893114;
Set U = 23,04;23.142;0;0,204;23,142;;0,029871737;
Set U = 24,0;24.013;0;0,177;24,013;;0,025918125;
============================================================;;;;0;;;
