=================Motor Informations=================
Name;RH-457SD-13150
Type;DC
UMotorMax;24
IMotorMax;0.6
PMotorMax;100
SpeedMax;4000
================Scenarios Informations================
U_MIN_TO_U_MAX;0;23.9;0
==============================================
test: Umin =0.0to Umax 23.9
Setting;U [V];v[tr/min];I[A]
Set U = 0.0;0.15;0.0;0.01
Set U = 0.96;0.76;0.0;0.07
Set U = 1.92;1.63;0.0;0.12
Set U = 2.88;2.39;0.0;0.33
Set U = 3.84;3.3;0.0;0.21
Set U = 4.8;4.28;0.0;0.13
Set U = 5.76;5.19;0.0;0.19
Set U = 6.72;6.14;0.0;0.26
Set U = 7.68;6.97;0.0;0.13
Set U = 8.64;7.73;0.0;0.3
Set U = 9.6;8.48;0.0;0.11
Set U = 10.56;9.66;0.0;0.1
Set U = 11.52;10.19;0.0;0.2
Set U = 12.48;11.25;0.0;0.25
Set U = 13.44;12.01;0.0;0.32
Set U = 14.4;13.18;0.0;0.11
Set U = 15.36;13.98;0.0;0.33
Set U = 16.32;14.81;0.0;0.12
Set U = 17.28;15.83;0.0;0.19
Set U = 18.24;16.29;0.0;0.13
Set U = 19.2;17.38;0.0;0.15
Set U = 20.16;17.69;0.0;0.24
Set U = 21.12;18.67;0.0;0.18
Set U = 22.08;19.54;0.0;0.19
Set U = 23.04;20.07;0.0;0.28
Set U = 24.0;21.1;0.0;0.49
============================================================
